no,title,artform1,artforms (new additions) ,artform,duration,plot,rationale,keywords,keyword1,keyword2,keyword3,links,category
55,Umbaro' by Raam Mori,Story Telling,,Storytelling,"5 minutes, 49 seconds ","Raam Mori reads his story, 'Umbaro' which talks about the domestic threshold that most women in rural Gujarat struggle to symbolically transcend. He satirises the belief that the threshold is symbolic of Goddesses in the day and Witches at night. He compares the threshold's state of limbo to the state of women- damned within the home and equally damned without. When narrated by him as a queer man, it also becomes a commentary on the lived experiences of queer bodies in rural settings.","Raam Mori is a queer writer whose collection of feminist short stories won the Sahitya Akademi Puraskar in 2017. He belongs to a Rajput community infamous for their patriarchy in Gujarat. (mentioned because caste continues to remain a huge factor in his subversive work) His stories deal with feminism in the most rural corners of the state. The literature's progressive nature and insight into the 'female' social position is deeply queer when arriving from a male bodied queer.  If one were to meet Raam, he would probably be in a beautifully embroidered skirt and shirt (deeply unconventional for the Gujarati literary world). As he playfully says in a speech, ""I am not like an ironed full sleeved shirt, I am a far more interesting crumpled chundadi"". The expression of feminism and freedom through the pen and narration of a queer writer is a unique performance to be archived.","Raam Mori, Storytelling ",storytelling,social commentary,,https://youtu.be/UequYXInWoM?si=ue95J9i1B2Vbs5Pb,Language
56,Tu Maro Dariyo' by B Praak,Song,,Music,"4 minutes, 23 seconds","As part of a movie called 'Samandar', this is the only Gujarati song sung by B Praak. The song shows the love shared by two friends, a Hindu and Muslim belonging to the same sailing community in Kutchh. The main line that translates 'You are my sea and my shore too' blurs whatever misguided borders heteronormativity likes to draw between platonic and romantic love. As these deeply loving friends navigate communal tensions and crisis, the question of more lingers to any audience that listens to this song. This song becomes the suggestion of a romantic love. Even in form, it is sung like a love song that merges with spiritualism.","To anyone who doesn't understand Gujarati, the song will undoubtedly evoke the sense of a transcendental love. It is penned in an intimate first person voice and speaks to the beloved. In playful but determined pride, the lover rejects a world that calls them mad and tells his beloved 'let them keep their delusions'. The song brims with hope as the lovers dream about a future together. The placement of this song in a film about 'male friendship' queers a popular trope in cinema, reimagining freshly what it means to love. ",Tu Maaro Dariyo,regional,desire,LGBTQIA+,https://youtu.be/Vj2zd2ud0As?si=6zvuiZQ2MNGG0fmu,Language
57,"Rutvij Mistry Dance Performance, Indian Pride Festival ",Kathak Dance,,Classical Dance,"6 minutes, 27 seconds","Rutvij Mistry is a dancer in Baroda whose performances straddle hindustani classical and folk dance forms. In this performance at the Indian Pride Festival, they are seen taking the stage in a unique attire and performing a Bhajan devoted to Krishna.  He calls himself a Gopi of Krishna, an identity that has been perceived as highly gendered. He performs a blend of folk and Kathak.","The performer is a unique confluence of contexts and identities. Their Instagram handle 'rangeeli.hori.sakhi'  presents a portfolio of performances on the theme of bhakti poetry or songs. This further queers the queer historical, poetic and spiritual movement that Bhakti has been. The unique amalgamation of a long white beard, an anarkali, and a feathered pagdi makes for a costume that defies any categorisation or assumption. 'Binti Suniye Nath Humari' is the Bhajan they dance to, placing himself in the position of submissive prayer which is often reserved by female bhakts. Even the Kathak they dance to makes no attempt to satisfy normativity of any kind, using elements of folk to replace the Kathak kapita mudras used to depict krishna.","Kathak, pride",LGBTQIA+,storytelling,,https://youtu.be/JGYyiXPlNjc?si=WDtVzaVB-bx5VAjR,Rewritings
58,"Preeti Das, Indian Pride Festival ",Stand-up comedy ,,Theatre,"13 minutes, 49 seconds ","Preeti Das (professor, performer) takes the stage at Indian Pride Festival organized in Gandhinagar to perform a stand-up comedy set. Weaving through Gujarati, Hindi and English, she begins by requesting a change in stage lights so that she can see clearly and engage with members of audience. She traces queer history from Ellora caves to 'The Man Who Became Wife of His Friend' from Skanda Purana and simultaneously cracks satire on the back of 377. ","Das' performance straddles storytelling and stand-up comedy. She actively attempts to debunk the misunderstood defamiliarization of queerness within a classical or traditional Indian context. Through storytelling from the Skanda Purana, she subverts heteronormativity within customs such as 'sola somvaar' and renders queerness perennial through Indian cultures. Her jest of 377 testifies for the contrary narrow-mindedness of the 'modern' world. By choosing stand-up comedy, which has remained infamous for staging privileged punching down at the marginalized, Das (as an ally and woman) queers the form as well.","comedy, preeti das",humour,social commentary,collective memory,https://youtu.be/0jtEvBExqLo?si=VPdLQFN7zMwRYhmD,Language
59,"Maya Urmila Koli, Indian Pride Festival ",Kathak Dance,,Classical Dance,"6 mins, 41 seconds","Maya, who is a transgender Indian Classical Dancer, holds a master's in Kathak and was awarded the Rashtrapati Award in 2010. This is their only recorded performance available online. They take the stage to perform Kathak on 'Thaare Rahiyo', a popular bollywood classical song from 'Pakeezah'. They perform from the Lukhnow Gharana style, its elements fitting right into the ambience of the original performance by Meena Kumari. The delicacy of movements is accompanied by subtle expressions.","Actresses who performed Kathak in royal dramas in Bollywood of the time have been very popular drag figures in Indian performance arts. A trans classical dancer of Maya's repute performing on this song with zeal and skill pushes the boundaries of what is deemed 'classical enough'. The original track featured a female courtesan dancing for the king in a court. The fact that it is now being performed by a transgender Kathak dancer in a pride festival subverts the form of Kathak, it's historical perception and negotiations with gender a great deal. The traditional classical gharanas often look down on performances on film songs. However, that is one way of gatekeeping and denying status to all that is accessible. Figures like Meena Kumari and Rekha have been popular drag figures owing to this very accessibility and potential for expression. This archiving is an assertion of what is 'classical'.","Kathak, Queer",LGBTQIA+,identity,,https://youtu.be/yaSqCquXvOo?si=kvov09bP97ntRHwv,Rewritings
60,"Akash and Raktim, India's Best Dancer 2","Bollywood, Lyrical",,Bollywood Dance,"5 minutes, 11 seconds ","The contestants on this very popular reality tv dance show perform a sensuous duet on 'Lahu Muh Lag Gaya' from 'Goliyon Ki Rasleela: Ramleela'. The song, which has cinematically been eternalised for its colourful expression of intimacy, love and sexuality, is presented unconventionally in this lyrical performance. ","Reality TV dance shows and such are very popular mediums in India. They are known as 'family entertainment', destined for audiences of all ages. For a sensual dance performance comprising of two men to be staged on such a platform itself is very unconventional. By maintaining the flamboyance, fearlessness and celebratory pride in this sensuality, queer love and intimacy is being portrayed far away from lenses of marginalisation. Following the use of colours in the original imagination of the song, this performance makes use of red gulaal that the dancers coat themselves and each other in. The colour red can be read for its duality in violance and desire. Either way, any semblance of otherness melts away under the sensual lyricism of the dance. ","dance, queer, DID",fusion,desire,LGBTQIA+,https://youtu.be/ndDljnyLxb8?si=29Mxa8VUt3zlNGDR,Space
61,Tara' by Mahesh Dattani,Theatre,,Theatre,"1 hour, 30 minutes ","Tara' by Mahesh Dattani portrays the lives of two siblings, born in the bodies of a boy and a girl. When Tara (the female-bodied sibling) struggles with disability, the parents and doctor make medical decisions for her dictated by their patrairchal notions of gendered bodies. By doing away with child or young-adult actors, the director highlights the absurdity of robbed agencies and guardianship. Unconventional for plays, the actors read from scripts on stage.","The manner in which the same play has been enacted in different reimaginings is deeply fascinating. In this rendition, the interplay of disability and gender have been highlighted through moments of dark humour and vulnerability displayed by the young disabled girl who struggled to meet the standards of a female and feminine body. The appearance and characterisation of Tara's character in the play is subtly queered. She is juxtaposed against a friend of hers who appears on stage dressed in a bright pink dress and a sympathetic disposition towards disability. Tara's disinterest and discomfort in a body constantly burdered with expectations of 'femininity' is expressed through dialogues and body language. The directorial choice to have actors read from scripts seems to be satire on a society that indeed seems to be reading from a prescribed text of heteronormativity and patriarchy. ","theatre, dattani",desire,resistance,social commentary,https://youtu.be/xPNH-R36JwA?si=g23yZLTE8womNnXY,Body
62,"Farewell Dance', Maitreyi College (DU)",Dance,,Bollywood Dance,"10 minutes, 5 seconds","This performance is uploaded by Priyanka Sehrawat on her YouTube Channel. The vlog comprises of performances staged at a farewell in Maitreyi College, a women's college in University of Delhi. The women, dressed in sarees, dance to popular 'item songs' in Hindi and Haryanvi. In the beginning of the vlog, they are seen bantering amongst one another, speaking about the farewell and college, and dancing to music while getting ready for the event. ","Women's colleges are a space where women feel free to reclaim their bodies, sensualities and sexualities. The same songs that objectify them outside of these walls, free them within. Farewells, which are organised more informally than bigger annual programmes, do not observe much interruption by administration. This makes freer space for expression. The first performance on a popular haryanvi song, features the performer dancing freely with joy. This unchoreographed performance is cheered on by an enthusiastic crowd of women. In the. latter performance, the performers dance to songs like 'chikni chameli' with sensuality and grace, smiling and laughing with one another as they go. This particular video has been chosen for more reasons than one. Many such performances are viral on social media, often accompanied by vulgar captions and titles that objectify these women who consented to performing before only a roomfull of women. This is one of the very few videos that are self uploaded by the performer. It reclaims the very act of performance. Including this in the archive also re-situates it politically in the spectrum of the internet.","Women's College, Dance",resistance,community,interactive,https://youtu.be/sX9qLJEjUfE?si=AKPXH0bMlUjzRCBK,Space
63,"Tum Radha Bano Shyaam', Raheem Mir",Kathak Dance,,Classical Dance,"7 minutes, 38 seconds","Raheem Mir is a queer Kathak performer. He sits cross-legged in a garden as an introduction is given from behind the camera. He goes on to perform to the thumri 'Tum Radha Bano Shyaam'. The first half of the performance is baith-ke-thumri, which refers to the use of abhinaya while sitting. The latter half showcases him performing. However, abhinaya remains at the forefront and he uses the body subtly to aid expression.","The initial narration introduces this performance as one exploring the androgeny of Krishna, ""Let us watch Krishna discover Radha within himself"". The lyrics of the Thumri translates to 'Become Radha, Krishna'. However, the unusual syntax of the lyrics evokes the dynamism of its meaning on the basis of 'tum's position. Who becomes who? A strand of Kathak can be traced back to 'Raas', maintaining the popularity of the figures of Radha and Krishna. This performance blurs the boundaries of gender between them, which only furthers the subversion studied by critics who observe queerness in the figure of Krishna. ",,LGBTQIA+,identity,,https://youtu.be/Uw66h1UjzBA?si=RRzZMagmEffw72Xf,Rewritings
64,"Tanashah' by Navtej Johar, Natrani Theatre","Theatre, Movement Drama",,Theatre,-,"With 'Tanashah', Navtej Johar portrays the otherwise hypermasculine figure of  Bhagat Singh with subtle fluidity. The solo performance follows the internal and external journey of the figure through lesser known incidents in his history, leading right up to his death. The performer uses physical theatre as his medium of expression and makes his body the fulcrum of this solo drama. ","Akin to most performances by. Navtej Johar, queerness functions in the undercurrents of the performance. Elaborate scenes such as that of him wearing the turban stretch through over five minutes, hinting to the performative process of 'becoming' a figure. The performance makes unconventional use of the body through strenuously slow floorwork. The conventionally hyper-masculine figure is enacted by Navtej Johar with a humanising fluidity. Scenes such as that comprising of Bhagar Singh sitting on a stool with his legs apart and straight and hands resting on the stool in the middle while delivering a monologue to the audience showcases a level of informality and playfulness that is seldom allowed in his interpretation of youth. Focus on the fact that Bhagat Singh had asked for a romantic saga, 'Heer-Ranjha' during his time behind bars and moreover, has sworn on it instead of the sacred books before being executed, is an indictment of love that is seldom allowed penetration in his accounts of bravery and patriotism. ","Navtej Johar, tanashah",identity,collective memory,storytelling,https://www.facebook.com/watch/?v=1230563801129245,Body
65,Voh Ladkiyon Wala Naatak',"Theatre, Nautanki",,Theatre,-,"""वह लड़कियों वाला नाटक is a mixture of joyful, heartful stories of women being women, literally and figuratively. It is a humorous take on roles and rituals of women be it a thoughtful daughter, a working mother, a flirtatious maid or the goddess herself!
So, if you are still wondering, ki choli ke pichhe kya hai? Or kyun hai? Then with an open mind.. Kundi mat khadkaao raja, seedha andar aao raja"" - 'Voh Ladkiyon Wala Naatak', Instagram.","The play, which is still a running show features women in varying cultural contexts in moments of vulnerability and celebration. Their social media, which comprises of montages from the play and rehearsals set to well-known Hindi item numbers, reclaim sexuality. Through characters such as the flirtatious maid, they also manage to politicise marginalised bodies and their access to sexuality. Through the course of the play, they dorn varying avatars, including clowns, nightmares, mohalla aunties, mothers, maids, and more. As they embody the varyingly human, material and abstract, boundaries of all kinds are overstepped, including that of gender. Moreover, they succeed in telling stories of and from all spectrums of society. A review writes ""I dont remember the last time I saw women laugh like this, both on and off-stage. Come with your notebooks, they're redefining womanhood"".  ","Preeti Das, Play, Women",community,interactive,humour,https://www.instagram.com/reel/CuL4qdqsxBT/?igsh=ZnI4bXA1b3VjdGg4,Space
66,Bin Baykancha Tamasha,Marathi Folk-Theatre/Lavani (Tamasha Style),,Folk Dance,1. 6:25 minutes  2. 5:07 minutes  3. 6:17 minutes,"This Marathi Lavani form, whose title translates to ""A Tamasha Without Women,"" is an exploration of gender and performativity through the lens of traditional Tamasha theatre. It was a form that was born out of claiming respect and recognition for cross-dressed Lavani performers. The narrative blends humour, music, and dance to critique societal norms and patriarchy while offering nuanced insights into how femininity is performed and constructed. The following entry has two performances at town/village events and one NDTV report that has snippets of the performance as well as an elaboration of the performers and the form.","By queering the structure Lavani through Tamasha and utilizing an all-male cast, the play destabilizes heteronormative frameworks and challenges the patriarchal underpinnings of folk art forms. Its innovative approach aligns with the archive's goal of showcasing performances that interrogate conventional artistic and social binaries, offering a subversive lens on gender and performativity. Furthermore, it resonates with the archive’s emphasis on reimagining queerness within traditional Indian performance forms, blending activism with artistry to present a dynamic critique of gender norms. ","Lavani, Bin Baykancha Tamasha, Lavani men, Marathi Lavni",identity,social commentary,caste,"Devgiri Puja - Bin Baykancha Tamasha  तमाशा पोखले यात्रा 2024  Special Report: Tamasha, men no bar (Aired: July 2006) ",Rewritings
67,Dhumabhagavati Theyyam,Theyyam (ritual folk performance),,Folk Dance,4:02 minutes,"Dhumabhagavati Theyyam is a powerful ritual performance from Kerala. The Theyyam is performed by men (generally from lower castes) predominantly in Brahmin temples and features a visually striking appearance of the goddess, with firecrackers adorning the performer’s head and waist. The narrative traces the goddess's origin from the Homa Kund (sacrificial fire pit) of Lord Shiva, born out of smoke to destroy demons. She is venerated in two forms: as Bhadrakali, embodying her fierce protector aspect, and as Varahi, symbolized by a boar mask. The performance recounts her journey across Kerala, blessing Brahmin temples and ensuring the protection of devotees.","Dhumabhagavati Theyyam is performed by individuals from marginalized caste communities, traditionally tasked with embodying the divine in these ritual contexts, in contrast to the Brahmin priests who officiate temple worship. This caste dynamic reflects a critical intersection of power, performance, and spirituality, where marginalized performers challenge hierarchical caste norms by becoming vessels of divine power. The Theyyam queers the boundaries between human and divine, masculine and feminine, and low and high caste, aligning with the archive's mission to highlight performances that disrupt traditional binaries. Additionally, the performance bridges folklore, mythology, and ritual, showcasing queerness as an intrinsic element of Kerala’s performative traditions.","Theyyam, Dhumabhagavathi, Kannur",regional,caste,collective memory,ധൂമാ ഭഗവതി/Dhumabhagavati,Rewritings
68,Camille Claudel: Into the Fire,Vocal and Piano Recital,,Music,Approx. 30-40 minutes,"This is a performance that is a song cycle composed by Jake Heggie, inspired by the life and artistic journey of French sculptor Camille Claudel. The performance traverses her emotional highs and lows: a lover grappling with rejection by Auguste Rodin, a mother mourning the loss of her child, and a woman enduring the isolation and torment of an asylum. Subin Mathai, a male countertenor, embodies the voice of Claudel, with piano accompaniment by Nadine Crasto. ","This performance showcases a fusion of classical music and contemporary composition. It exemplifies how live performance captures the intersection of music, biography, and art history, contributing to the queer archive by exploring themes of identity and defiance against societal norms. This specific performance has a countertenor who sings in the voice of Camille, a woman who lost her child, a sad lover, and a woman in an asylum. This unique interpretation queers both the form and performance, with a male voice assuming the identity of a historically marginalized woman, creating a layered narrative of identity, defiance, and vulnerability.  ",Camille Claudel: Into the Fire,identity,interactive,storytelling,,Rewritings
69,"Alien Flowers', Sapphire Creations Dance Company ","Ballet Production, Contemporary Dance",Dance as Political Discourse,Dance as Political Discourse,"5 mins, 40 secs","Alien Flowers' was India's first LGBT dance production first staged in 1996. Choreographed by Sudarshan Chakravorty and featuring poems by Sanjay Vasa and Rakesh Ratti, this ballet dared to explore themes of queer identity and prejudice at a time when such topics were often relegated to the shadows. The clip showcases a recreation of the same performance eleven years after its premiere. ","The performance told the story of two men in love, battling society and its expectations. In 1996, it was met with audience uproar and critics calling it 'western-influenced'. Chakrabarty in an interview with Telegram mentions that performers carrying posters with the words 'celebrate your sexuality' were publicly harassed and the company received death threats. The same performance is revived in 2006 and applauded for its poetry and vision. Within the performance, contemporary dance and an interplay of expressions and bodily movements is used to narrate the story. Inventive props seem to behave like extensions of the queer body. Stepping past romantic cliches, love within the symbolic system of dance is reimagined. ","Dance, Queer",LGBTQIA+,social commentary,stoorytelling,https://youtu.be/2BLwizJxgdg,Rewritings
70,"One Part Woman', spoken word by Bharath Savitri Divakar",Spoken word poetry,,Poetry,"2 mins, 44 secs","Performed at Spoken Word Festival, this performance is the poet's dissonance and battle with the binaries society attempts to dissect him in. ","The poet narrates a world of hypocritical binaries. They talk about a sister who curses them for their femininity and an experience of constant dysmorphia, 'testosterone ties my tongue' The poet resents the way in which the mechanical binaries of society, '1s and 0s' has infiltrated their consciousness too. Through the course of the poem, they talk about the patriarchal stereotypes assigned to women, which also assign to them. They also talk about the unhealthy masculinity associated with men, also associated to them. ""Zero on all days, I am one part woman""",spoken word ,LGBTQIA+,storytelling,resistance,https://youtu.be/UL2FkxVFPig?si=8NeB5ZfUe_JTjgIy,Language
71,Trans/Generation' by Alok Vaid Menon,Spoken Word Poetry ,,Poetry,"4 mins, 34 secs","Performed at Unerase Poetry, this poem narrates the silent conflict between the poet's identity and that of their culture and family. ","the poet talks about how in their family, one mustn't smile for portraits. They say that not smiling is also an act of resistance. it also symbolises all the silences that stand between them. silence, they say, is violence. As they follow their life, very differently marginalised than their equally marginalised grandmother, they talk about the 'economy of rage' in their culture and the little respites and rushes that keep them alive. ",poetry,resistance,identity,storytelling,https://youtu.be/iLPwZZjMqyI?si=J7Smtepm2RNBiBKf,Rewritings
72,"Not Limited by Time ft. Nrithya Pillai
Nattuvangam and Vocal: Ananthashree ",Politicizing Bharatanatyam,,Classical Dance,20 Minutes 46 Seconds ,"From Nrithya Pillai:
""I perform my Bharathanatyam to imagine new regimes of mobility and equity for women like me from the hereditary families that are the original custodians of the bharathanatyam tradition. A large part of this has to do with the retrieval – through largely oral sources– of dance repertoire of historical import that was created by and for my direct ancestors. I perform such pieces not only as a counterpoint to the acts of upper-caste appropriation and stewardship, but also to acknowledge the deep levels of mediation through which I myself have received the very practice of Bharatanatyam, across the deep vectors of reform discourse, aesthetic refashioning, and moral and cultural nationalisms. 
Built upon the thematic of courtly love, as opposed to nationalist neo-Hindu devotional modes, my reclaiming of my community’s repertoire, asserts old familial genealogies into the dystopic spaces of capitalism where today’s corporate-funded “classical” dance thrives for the upper-castes. I perform dance compositions that were created or revivified for the new elites by hereditary dance-masters (nattuvanars) in my family – except that now, I perform these through my Bahujan body."" 

""Moreover, my performance is also rooted in my contemporary anti-caste stance through the inherited, distinctly modern vocabulary of the reinvented Bharathanatyam, shifting our focus away from the nationalist, religious content that dominates public representations of the art today. Through these interventions ,I hope to challenge basic understandings of the history and social constitution of Bharathanatyam as a corporeal and cultural practice.""","The artist's work is a powerful reclamation of traditional Bharatnatyam, reimagining it through an intersectional lens. By drawing from oral histories and moving away from fixed categories like nationalism and devotion, the artist politicizes the form. The interaction between the two female bodies on stage is particularly striking, fostering a sense of solidarity and community. This performance challenges traditional gender roles and beauty standards, celebrating diverse bodies and voices. By centering intersectional identities and breaking norms, the artist creates a space for historically marginalized  body, community, and their perspectives within the realm of classical Indian dance.
Artist singing in between the performance was quite fluid.







",traditonal,caste,new way,caste,https://www.youtube.com/watch?v=iQG1dnPCJ5E,Rewritings
73,"Firefly women

Cast: Priiya, Savita Rani, Manjari K
Sound: Philipp Kehdler
Dramaturgy: Wen Hui
Direction: Manjari",Text documentary ,,Theatre,1 Minutes 31 Seconds ,"This performance is about two young Indian women, imprisoned under a law, share their experiences in letters to friends and comrades. They describe how the patriarchal structures within the prison mirror those of the outside world. The women write about forming bonds with fellow inmates who teach them to navigate prison life with dignity. They also share their interactions with children born and raised within the prison walls.","This performance delves into the experiences of forgotten individuals and their stories who comes from the tribal communities, examining how they navigate gender and identity within a surveillance under prision. It highlights the resilience of marginalized bodies and the power of collective resistance. The work explores themes of solidarity, empathy, and the search for solace in the face of oppression. By focusing on the lived experiences of these individuals, the performance challenges normative gender roles and exposes the limitations of surveillance systems.",stories,reality,identity,,https://www.manjarikaul.com/firely-women,Body
74,"Reaching out to grasp roots...I stand uprooted by Lapdiang Syiem

Adaption of three poems by Esther Syiem",Theatre storytelling,,Theatre,20 Minutes 30 Seconds ,"Theater artist Lapdiang Syiem's performance ""Reach out to grasp roots - I stand uprooted"" is an adaptation of Esther Syiem's poems, centered around the myth of U Thlen. This powerful piece delves into the devastating impact of coal mining on the region, weaving together three interconnected stories: the myth of U Thlen, the tale of a mother and her dying child, and the reemergence of U Thlen in the modern context. By exploring the interplay of these seemingly simple characters, the performance reveals their profound metaphorical significance for our contemporary times. It highlights the destructive force of coal mining, which is consuming land, economies, and lives.","The artist's fluid performance challenges traditional gender roles and societal expectations. They question the gendered nature of the myth of U Thlen, exploring how the narrative might unfold if the character were female. Through their work, the artist seeks to share the lived experiences of marginalized communities and challenge the boundaries between the imagined and the real. By embodying diverse roles and emotions, they highlight the fluidity of identity and the power of storytelling to create empathy and understanding. The clothes they are wearing is sybolises the stories of women from rural Meghalya.",northeast,regional,nature,,"https://princeclausfund.nl/awardees/lapdiang-artimai-syiem
https://www.youtube.com/watch?v=wdeH43EJepc&t=8s
https://www.youtube.com/watch?v=9hIFtaPW7Zg",Language
75,"Contempt - a legal theatre (8 February, 2018) | Blackbox, Ashoka University",Play,,Theatre,45 minutes (approx.),"Directed by Danish Sheikh, this play mixes stories from queer lives - and excerpts from court hearings on Section 377. The narratives are delivered by witnesses - and given the label of affidavits; in a way, it reimagines the dialogue between lawyers and witnesses but in a theatre setting. How does contempt as an emotive practice inhabit the lives of those within, and outside, the classroom?","The play has a wide applicability - as its performance has taken place in both university and theatre spaces. The use of both stage and the background screen projection allowed for parallel narratives to keep running. While keeping the legal dilemmas in the centre, it often breaks into poetic, philosophical musings as well: some of the audio narratives happen with no one on stage.",Contempt,Section 377,Danish Sheikh,,https://drive.google.com/file/d/1BBwJjnWHklNQVwpGuEOr5fAPJjAO3bb2/view,
